id,memspec,mcconfig,addressmapping
132,HBM2.json,fr_fcfs_noref.json,am_ddr4_8x4Gbx8_dimm_p1KB_brc.json
133,HBM2.json,fr_fcfs_noref.json,am_hbm2_8Gb_pc_brc.json
134,HBM2.json,fr_fcfs_noref.json,am_lpddr4_1Gbx16_baroco.json
135,HBM2.json,fr_fcfs_noref.json,am_lpddr4_1Gbx16_robaco.json
136,HBM2.json,fr_fcfs_noref.json,am_lpddr4_1Gbx16_rocoba.json
137,HBM2.json,fr_fcfs_noref.json,am_lpddr4_512Mbx16_baroco.json
138,HBM2.json,fr_fcfs_noref.json,am_lpddr4_512Mbx16_robaco.json
139,HBM2.json,fr_fcfs_noref.json,am_lpddr4_512Mbx16_rocoba.json
140,HBM2.json,fr_fcfs_noref.json,am_lpddr4_8Gbx16_brc.json
141,HBM2.json,fr_fcfs_noref.json,am_stt-mram_8x2Gbx8_dimm_p1KB_rbc.json
142,HBM2.json,fr_fcfs_noref.json,am_wideio2_4x64_4x2Gb_brc.json
143,HBM2.json,fr_fcfs_noref.json,am_wideio2_4x64_4x2Gb_rbc.json
144,HBM2.json,fr_fcfs_noref.json,am_wideio_4x1Gb_brc.json
145,HBM2.json,fr_fcfs_noref.json,am_wideio_4x1Gb_rbc.json
146,HBM2.json,fr_fcfs_noref.json,am_wideio_4x256Mb_brc.json
147,HBM2.json,fr_fcfs_noref.json,am_wideio_4x256Mb_rbc.json
148,HBM2.json,fr_fcfs_noref.json,am_wideio_4x2Gb_brc.json
149,HBM2.json,fr_fcfs_noref.json,am_wideio_4x2Gb_rbc.json
150,HBM2.json,fr_fcfs_noref.json,am_wideio_4x4Gb_brc.json
151,HBM2.json,fr_fcfs_noref.json,am_wideio_4x4Gb_rbc.json
152,HBM2.json,fr_fcfs_noref.json,am_wideio_4x512Mb_brc.json
153,HBM2.json,fr_fcfs_noref.json,am_wideio_4x512Mb_rbc.json
154,HBM2.json,fr_fcfs_noref.json,am_wideio_thermal.json
155,HBM2.json,fr_fcfs_refp2b.json,am_ddr3_4x4Gbx16_dimm_p2KB_brc.json
156,HBM2.json,fr_fcfs_refp2b.json,am_ddr3_4x4Gbx16_dimm_p2KB_rbc.json
157,HBM2.json,fr_fcfs_refp2b.json,am_ddr3_8x1Gbx8_dimm_p1KB_brc.json
158,HBM2.json,fr_fcfs_refp2b.json,am_ddr3_8x1Gbx8_dimm_p1KB_rbc.json
159,HBM2.json,fr_fcfs_refp2b.json,am_ddr3_8x2Gbx8_dimm_p1KB_brc.json
160,HBM2.json,fr_fcfs_refp2b.json,am_ddr3_8x2Gbx8_dimm_p1KB_rbc.json
161,HBM2.json,fr_fcfs_refp2b.json,am_ddr3_x16_brc.json
162,HBM2.json,fr_fcfs_refp2b.json,am_ddr3_x16_rbc.json
163,HBM2.json,fr_fcfs_refp2b.json,am_ddr4_8x4Gbx8_dimm_p1KB_brc.json
164,HBM2.json,fr_fcfs_refp2b.json,am_hbm2_8Gb_pc_brc.json
165,HBM2.json,fr_fcfs_refp2b.json,am_lpddr4_1Gbx16_baroco.json
166,HBM2.json,fr_fcfs_refp2b.json,am_lpddr4_1Gbx16_robaco.json
167,HBM2.json,fr_fcfs_refp2b.json,am_lpddr4_1Gbx16_rocoba.json
168,HBM2.json,fr_fcfs_refp2b.json,am_lpddr4_512Mbx16_baroco.json
169,HBM2.json,fr_fcfs_refp2b.json,am_lpddr4_512Mbx16_robaco.json
170,HBM2.json,fr_fcfs_refp2b.json,am_lpddr4_512Mbx16_rocoba.json
171,HBM2.json,fr_fcfs_refp2b.json,am_lpddr4_8Gbx16_brc.json
172,HBM2.json,fr_fcfs_refp2b.json,am_stt-mram_8x2Gbx8_dimm_p1KB_rbc.json
173,HBM2.json,fr_fcfs_refp2b.json,am_wideio2_4x64_4x2Gb_brc.json
174,HBM2.json,fr_fcfs_refp2b.json,am_wideio2_4x64_4x2Gb_rbc.json
175,HBM2.json,fr_fcfs_refp2b.json,am_wideio_4x1Gb_brc.json
176,HBM2.json,fr_fcfs_refp2b.json,am_wideio_4x1Gb_rbc.json
177,HBM2.json,fr_fcfs_refp2b.json,am_wideio_4x256Mb_brc.json
178,HBM2.json,fr_fcfs_refp2b.json,am_wideio_4x256Mb_rbc.json
179,HBM2.json,fr_fcfs_refp2b.json,am_wideio_4x2Gb_brc.json
180,HBM2.json,fr_fcfs_refp2b.json,am_wideio_4x2Gb_rbc.json
181,HBM2.json,fr_fcfs_refp2b.json,am_wideio_4x4Gb_brc.json
182,HBM2.json,fr_fcfs_refp2b.json,am_wideio_4x4Gb_rbc.json
183,HBM2.json,fr_fcfs_refp2b.json,am_wideio_4x512Mb_brc.json
184,HBM2.json,fr_fcfs_refp2b.json,am_wideio_4x512Mb_rbc.json
185,HBM2.json,fr_fcfs_refp2b.json,am_wideio_thermal.json
186,HBM2.json,fr_fcfs_rfm.json,am_ddr3_4x4Gbx16_dimm_p2KB_brc.json
187,HBM2.json,fr_fcfs_rfm.json,am_ddr3_4x4Gbx16_dimm_p2KB_rbc.json
188,HBM2.json,fr_fcfs_rfm.json,am_ddr3_8x1Gbx8_dimm_p1KB_brc.json
189,HBM2.json,fr_fcfs_rfm.json,am_ddr3_8x1Gbx8_dimm_p1KB_rbc.json
190,HBM2.json,fr_fcfs_rfm.json,am_ddr3_8x2Gbx8_dimm_p1KB_brc.json
191,HBM2.json,fr_fcfs_rfm.json,am_ddr3_8x2Gbx8_dimm_p1KB_rbc.json
192,HBM2.json,fr_fcfs_rfm.json,am_ddr3_x16_brc.json
193,HBM2.json,fr_fcfs_rfm.json,am_ddr3_x16_rbc.json
194,HBM2.json,fr_fcfs_rfm.json,am_ddr4_8x4Gbx8_dimm_p1KB_brc.json
195,HBM2.json,fr_fcfs_rfm.json,am_hbm2_8Gb_pc_brc.json
196,HBM2.json,fr_fcfs_rfm.json,am_lpddr4_1Gbx16_baroco.json
197,HBM2.json,fr_fcfs_rfm.json,am_lpddr4_1Gbx16_robaco.json
198,HBM2.json,fr_fcfs_rfm.json,am_lpddr4_1Gbx16_rocoba.json
199,HBM2.json,fr_fcfs_rfm.json,am_lpddr4_512Mbx16_baroco.json
200,HBM2.json,fr_fcfs_rfm.json,am_lpddr4_512Mbx16_robaco.json
201,HBM2.json,fr_fcfs_rfm.json,am_lpddr4_512Mbx16_rocoba.json
202,HBM2.json,fr_fcfs_rfm.json,am_lpddr4_8Gbx16_brc.json
203,HBM2.json,fr_fcfs_rfm.json,am_stt-mram_8x2Gbx8_dimm_p1KB_rbc.json
204,HBM2.json,fr_fcfs_rfm.json,am_wideio2_4x64_4x2Gb_brc.json
205,HBM2.json,fr_fcfs_rfm.json,am_wideio2_4x64_4x2Gb_rbc.json
206,HBM2.json,fr_fcfs_rfm.json,am_wideio_4x1Gb_brc.json
207,HBM2.json,fr_fcfs_rfm.json,am_wideio_4x1Gb_rbc.json
208,HBM2.json,fr_fcfs_rfm.json,am_wideio_4x256Mb_brc.json
209,HBM2.json,fr_fcfs_rfm.json,am_wideio_4x256Mb_rbc.json
210,HBM2.json,fr_fcfs_rfm.json,am_wideio_4x2Gb_brc.json
211,HBM2.json,fr_fcfs_rfm.json,am_wideio_4x2Gb_rbc.json
212,HBM2.json,fr_fcfs_rfm.json,am_wideio_4x4Gb_brc.json
213,HBM2.json,fr_fcfs_rfm.json,am_wideio_4x4Gb_rbc.json
214,HBM2.json,fr_fcfs_rfm.json,am_wideio_4x512Mb_brc.json
215,HBM2.json,fr_fcfs_rfm.json,am_wideio_4x512Mb_rbc.json
216,HBM2.json,fr_fcfs_rfm.json,am_wideio_thermal.json
217,JEDEC_1Gbx16_LPDDR4-0533.json,fifo.json,am_ddr3_4x4Gbx16_dimm_p2KB_brc.json
